"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"51",2.20799,42.67168,"2614239217",27,81,323,5730,166,-86,252,32,-43,112,-45,1049,109,72,12,320,224,235,258
"52",2.09037,42.40104,"2614239652",17,84,328,5767,157,-99,256,62,-54,102,-56,996,114,52,23,330,159,300,181
"53",6.61522,44.95547,"2614241803",16,84,303,6526,165,-111,276,41,104,110,-68,796,88,46,16,251,159,168,198
"54",6.61522,44.95547,"2614244811",16,84,303,6526,165,-111,276,41,104,110,-68,796,88,46,16,251,159,168,198
"55",2.08616,42.67071,"2614245697",51,83,324,5829,192,-65,257,56,-21,136,-23,761,79,51,13,233,160,168,181
"56",1.96434,42.6696,"2614287774",71,85,325,5914,214,-46,261,78,-2,158,-4,954,96,66,10,280,211,227,247
"57",1.96593,42.57971,"2614288697",12,85,331,5766,153,-104,257,17,-59,97,-61,720,79,43,15,226,138,177,162
"58",2.08616,42.67071,"2614301655",51,83,324,5829,192,-65,257,56,-21,136,-23,761,79,51,13,233,160,168,181
"59",12.323808,62.560071,"2273745847",6,61,227,7234,156,-114,270,108,-19,108,-85,679,86,33,29,237,104,237,157
"60",12.912716,61.236433,"2274247926",17,66,231,7615,174,-113,286,124,-55,124,-81,802,98,39,29,278,121,278,130
"61",15.55627,64.001448,"2274255116",21,60,207,7861,180,-110,290,133,-53,133,-80,663,96,33,33,257,99,257,111
"62",12.995182,61.180877,"2274262946",22,66,231,7648,179,-108,288,129,-50,129,-77,628,77,30,30,219,92,219,100
"63",12.90827,61.238132,"2274291055",17,66,231,7615,174,-113,286,124,-55,124,-81,802,98,39,29,278,121,278,130
"64",15.165188,63.929334,"2274300980",20,60,208,7752,177,-110,287,130,-54,130,-79,651,95,33,33,250,101,250,110
"65",13.065807,61.235037,"2274330109",22,66,230,7644,178,-109,287,129,-51,129,-77,637,80,28,31,228,90,228,93
"66",19.777588,68.150261,"2274347062",-8,55,177,8828,161,-149,310,118,-92,118,-120,435,77,19,45,199,59,199,66
"67",12.71744,61.635824,"2274472976",17,65,229,7548,172,-110,282,123,-54,123,-80,609,81,25,36,233,81,233,84
"68",12.967442,60.291233,"2274535063",33,69,237,7614,190,-100,290,136,-41,139,-66,953,106,44,27,312,148,304,150
"69",12.207152,62.583376,"2274647983",10,61,227,7222,159,-110,269,111,-16,111,-82,563,75,29,30,210,88,210,125
"70",13.00783,61.169833,"2274685983",22,66,231,7645,178,-109,288,128,-51,128,-77,663,82,31,30,234,97,234,103
"71",33.726358,67.63767,"2283259332",-9,58,182,8890,166,-154,321,111,-97,117,-129,520,66,23,35,190,75,183,78
"72",14.143157,62.775938,"2285716666",26,63,223,7567,182,-101,282,133,-45,133,-71,556,80,25,37,222,79,222,82
"73",14.19225,62.744993,"2285719164",28,63,224,7586,184,-99,283,135,-44,135,-69,565,82,25,38,228,81,228,82
"74",14.141917,62.772461,"2285720589",27,63,223,7568,182,-100,282,133,-45,133,-70,544,80,24,39,222,76,222,78
"75",14.143157,62.781062,"2285722968",26,63,223,7567,182,-101,282,133,-45,133,-71,556,80,25,37,222,79,222,82
"76",14.140453,62.783597,"2285727059",25,63,223,7558,180,-102,282,129,-72,132,-72,573,82,25,37,230,83,227,83
"77",16.263585,66.045063,"2285749028",-7,52,187,7820,148,-131,279,105,-39,105,-106,742,103,33,29,266,112,266,157
"78",12.30002,63.158705,"2285755822",7,60,228,7053,154,-109,263,73,-19,106,-81,732,88,39,27,250,119,240,183
"79",12.429764,62.637137,"2285759813",18,61,226,7271,168,-102,271,120,-7,120,-74,482,65,24,31,181,73,181,110
"80",14.63105,60.090373,"2285765702",41,68,236,7516,198,-89,287,144,-33,146,-57,852,96,43,26,288,139,273,146
