"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"51",11.255037,58.442622,"2572524163",79,35,161,6315,193,-21,214,59,46,169,-3,735,85,40,24,255,130,187,140
"52",17.339758,59.085054,"2572653125",65,53,203,6997,206,-53,259,165,-9,165,-25,583,73,29,29,205,91,205,99
"53",17.094131,58.690618,"2592993282",70,44,181,6776,202,-40,242,169,-2,169,-17,543,62,29,25,184,88,184,100
"54",17.056537,58.685502,"2592996186",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"55",17.059097,58.688046,"2592996295",70,45,184,6787,203,-41,244,169,-2,169,-17,544,62,29,25,184,88,184,100
"56",17.047895,58.684479,"2593013194",70,45,185,6790,203,-41,244,168,-3,168,-18,552,63,30,25,187,90,187,100
"57",17.056079,58.682784,"2593017171",70,45,184,6781,203,-41,243,168,-2,168,-17,561,64,30,25,190,91,190,103
"58",17.059223,58.683457,"2593045184",70,45,184,6787,203,-41,244,169,-2,169,-17,544,62,29,25,184,88,184,100
"59",17.091562,58.689647,"2593058297",70,44,181,6776,202,-40,242,169,-2,169,-17,543,62,29,25,184,88,184,100
"60",17.057875,58.682336,"2593060165",70,45,184,6781,203,-41,243,168,-2,168,-17,561,64,30,25,190,91,190,103
"61",17.056303,58.688116,"2593070295",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"62",17.050258,58.685885,"2593071181",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"63",17.057552,58.687855,"2593076292",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"64",17.060463,58.684708,"2593093190",70,45,184,6787,203,-41,244,169,-2,169,-17,544,62,29,25,184,88,184,100
"65",17.056887,58.686613,"2593116372",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"66",17.052045,58.686165,"2593117292",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"67",17.092272,58.690814,"2593131391",70,44,181,6776,202,-40,242,169,-2,169,-17,543,62,29,25,184,88,184,100
"68",17.064388,58.683172,"2593147388",70,45,183,6778,202,-41,243,168,-2,168,-17,558,64,30,25,190,91,190,103
"69",17.091751,58.689615,"2593151398",70,44,181,6776,202,-40,242,169,-2,169,-17,543,62,29,25,184,88,184,100
"70",17.054641,58.686524,"2593170297",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"71",17.051767,58.68411,"2593173300",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"72",17.060732,58.684615,"2593200295",70,45,184,6787,203,-41,244,169,-2,169,-17,544,62,29,25,184,88,184,100
"73",17.055153,58.683279,"2593201277",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"74",17.052863,58.690338,"2593201379",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"75",16.382648,58.98022,"2593225524",66,64,234,7165,217,-59,276,166,-9,166,-28,593,72,31,27,206,94,200,103
"76",17.064846,58.682411,"2593323501",70,45,183,6778,202,-41,243,168,-2,168,-17,558,64,30,25,190,91,190,103
"77",17.05898,58.687775,"2593395706",70,45,184,6787,203,-41,244,169,-2,169,-17,544,62,29,25,184,88,184,100
"78",17.058648,58.687112,"2593440707",70,45,184,6787,203,-41,244,169,-2,169,-17,544,62,29,25,184,88,184,100
"79",17.047814,58.693298,"2593467358",70,45,186,6799,204,-41,245,169,-2,169,-17,542,62,29,25,184,88,184,99
"80",17.039532,58.694096,"2593480349",70,46,186,6802,204,-41,245,169,-2,169,-17,551,63,29,25,187,88,187,100
"81",17.038831,58.694311,"2593520365",70,46,186,6802,204,-41,245,169,-2,169,-17,551,63,29,25,187,88,187,100
"82",17.567031,59.846208,"2593726590",62,59,213,7299,211,-64,275,165,-14,165,-34,541,71,27,32,205,81,205,91
"83",17.590343,59.831191,"2593735982",61,58,212,7284,211,-64,275,164,-15,164,-34,538,71,27,32,205,81,205,90
"84",17.047994,58.693088,"2593746353",70,45,186,6799,204,-41,245,169,-2,169,-17,542,62,29,25,184,88,184,99
