"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",125.254861,6.981278,"1426502648",135,53,716,360,175,101,74,138,136,142,132,2470,278,115,26,814,365,730,450
"2",146.784,-8.20868,"1090270187",122,51,741,382,155,86,69,125,116,126,115,2747,339,112,33,1000,348,855,352
"3",121.28,24.14,"1085968261",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"4",100.205,27.0226,"1317349389",99,84,369,5156,195,-34,229,159,24,162,24,1109,293,3,116,868,9,723,9
"5",99.8125,27.457,"1319182873",76,78,347,5335,173,-51,224,140,1,142,1,605,141,4,92,420,16,356,16
"6",100.205,27.0226,"1319539770",99,84,369,5156,195,-34,229,159,24,162,24,1109,293,3,116,868,9,723,9
"7",101.149,28.0803,"1320114123",58,82,362,5126,155,-73,227,121,-15,123,-15,1063,280,3,112,786,10,748,10
"8",120.73,23.38,"1085970351",155,54,322,3790,230,63,167,201,119,201,100,3220,707,43,91,1951,133,1951,173
"9",98.712807,27.201334,"1426064556",74,72,339,5058,163,-50,213,136,19,136,3,2088,280,29,50,833,101,792,155
"10",98.71347,27.197552,"1426151954",75,72,339,5054,164,-49,213,137,20,137,4,2046,274,28,50,818,98,770,152
"11",98.948611,28.479722,"1257718027",16,68,298,5700,117,-110,227,87,-62,89,-62,905,187,10,72,519,38,479,38
"12",98.91138,28.50611,"1259197103",53,68,295,5751,154,-75,229,125,-27,126,-27,742,156,8,75,442,30,396,30
"13",121.43,24.74,"1085983912",140,40,234,4501,225,53,172,163,80,199,78,3637,483,212,27,1331,651,881,750
"14",121.425833,24.735278,"891591482",140,40,234,4501,225,53,172,163,80,199,78,3637,483,212,27,1331,651,881,750
"15",121.47,24.48,"1085987609",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"16",121.47,24.48,"1085988750",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"17",121.44,24.37,"1085982120",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"18",121.43,24.37,"1085984944",60,47,296,3854,141,-19,160,101,10,111,8,2537,338,117,36,954,361,783,428
"19",121.44,24.37,"1085986757",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"20",121.260833,24.429444,"622279821",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"21",121.258333,24.43,"622279822",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"22",121.258333,24.43,"622279823",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"23",121.296111,24.434444,"622279824",73,47,288,4005,154,-10,164,114,20,125,18,2715,350,119,33,1017,375,871,484
"24",121.289167,24.420556,"622279825",84,48,285,4074,167,0,167,120,30,137,28,2544,341,95,42,967,299,941,392
"25",121.289167,24.420556,"622279826",84,48,285,4074,167,0,167,120,30,137,28,2544,341,95,42,967,299,941,392
"26",121.289167,24.420556,"622279827",84,48,285,4074,167,0,167,120,30,137,28,2544,341,95,42,967,299,941,392
"27",121.289167,24.420556,"622279828",84,48,285,4074,167,0,167,120,30,137,28,2544,341,95,42,967,299,941,392
"28",121.62,25.13,"1085989923",202,29,170,4873,285,115,171,228,179,267,134,3880,492,233,24,1364,731,991,808
"29",120.746212,23.457032,"622279815",188,55,312,4025,266,91,175,236,149,236,128,2374,481,38,79,1312,118,1312,156
"30",137.183333,-4.083333,"2513513985",29,46,750,358,62,0,62,25,32,33,23,4024,479,240,21,1346,742,1085,1335
"31",137.066667,-4.05,"94027802",39,47,752,361,73,10,63,35,42,43,33,3912,463,240,20,1293,756,1021,1283
"32",103.131667,-4.025,"2516184348",88,49,769,230,120,56,63,86,87,93,86,3574,390,187,24,1159,569,906,1032
"33",120.165116,23.496062,"622279816",236,33,218,4119,303,149,153,285,199,285,176,1509,322,17,87,895,53,895,118
"34",137.1,-4.06667,"1090181455",57,47,749,365,90,28,63,51,59,61,51,3879,454,243,19,1264,762,998,1264
"35",137.183333,-4.083333,"2513513068",29,46,750,358,62,0,62,25,32,33,23,4024,479,240,21,1346,742,1085,1335
