"","code","scientificname","WI"
"62",1,"Agrostis infirma",56.7
"63",1,"Agrostis infirma",76.4
"64",1,"Agrostis infirma",189.6
"65",1,"Agrostis infirma",189.6
"66",1,"Agrostis infirma",77.1
"67",1,"Agrostis infirma",56.9
"68",1,"Agrostis infirma",43.9
"69",1,"Agrostis infirma",43.9
"70",1,"Agrostis infirma",249.9
"71",1,"Agrostis infirma",249.9
"72",1,"Agrostis infirma",249.9
"73",1,"Agrostis infirma",249.9
"74",1,"Agrostis infirma",249.9
"75",1,"Agrostis infirma",249.9
"76",1,"Agrostis infirma",249.9
"77",1,"Agrostis infirma",249.9
"78",1,"Agrostis infirma",249.9
"79",1,"Agrostis infirma",249.9
"80",1,"Agrostis infirma",249.9
"81",1,"Agrostis infirma",249.9
"82",1,"Agrostis infirma",249.9
"83",1,"Agrostis infirma",249.9
"84",1,"Agrostis infirma",249.9
"85",1,"Agrostis infirma",106
"86",1,"Agrostis infirma",15.2
"87",1,"Agrostis infirma",15.2
"88",1,"Agrostis infirma",15.2
"89",1,"Agrostis infirma",11.2
"90",1,"Agrostis infirma",11.2
"91",1,"Agrostis infirma",11.2
"92",1,"Agrostis infirma",11.2
"93",1,"Agrostis infirma",11.2
"94",1,"Agrostis infirma",11.2
"95",1,"Agrostis infirma",11.2
"96",1,"Agrostis infirma",11.2
"97",1,"Agrostis infirma",11.2
"98",1,"Agrostis infirma",11.2
"99",1,"Agrostis infirma",79.5
"100",1,"Agrostis infirma",79.5
"101",1,"Agrostis infirma",79.5
"102",1,"Agrostis infirma",36.8
"103",1,"Agrostis infirma",51.8
"104",1,"Agrostis infirma",51.8
"105",1,"Agrostis infirma",44.8
"106",1,"Agrostis infirma",17.6
"107",1,"Agrostis infirma",17.6
"108",1,"Agrostis infirma",119
"109",1,"Agrostis infirma",34.4
"110",1,"Agrostis infirma",34.4
"111",1,"Agrostis infirma",39.1
"112",1,"Agrostis infirma",39.1
"113",1,"Agrostis infirma",39.1
"114",1,"Agrostis infirma",39.1
"115",1,"Agrostis infirma",39.1
"116",1,"Agrostis infirma",39.1
"117",1,"Agrostis infirma",58.8
"118",1,"Agrostis infirma",58.8
"119",1,"Agrostis infirma",111.2
"120",1,"Agrostis infirma",133.2
"121",1,"Agrostis infirma",133.2
"122",1,"Agrostis infirma",45.7
"123",1,"Agrostis infirma",64.1
"124",1,"Agrostis infirma",44.2
"125",1,"Agrostis infirma",65.4
"126",1,"Agrostis infirma",84.5
"127",1,"Agrostis infirma",84.5
"128",1,"Agrostis infirma",84.5
"129",1,"Agrostis infirma",29.4
"130",1,"Agrostis infirma",29.4
"131",1,"Agrostis infirma",29.4
"132",1,"Agrostis infirma",100.1
"133",1,"Agrostis infirma",100.1
"134",1,"Agrostis infirma",86.8
"135",1,"Agrostis infirma",86.8
"136",1,"Agrostis infirma",25.4
"137",1,"Agrostis infirma",25.4
"138",1,"Agrostis infirma",25.4
"139",1,"Agrostis infirma",25.4
"140",1,"Agrostis infirma",25.4
"141",1,"Agrostis infirma",25.4
"142",1,"Agrostis infirma",25.4
"143",1,"Agrostis infirma",25.4
"144",1,"Agrostis infirma",25.4
"145",1,"Agrostis infirma",25.4
"146",1,"Agrostis infirma",23.4
"147",1,"Agrostis infirma",23.4
"148",1,"Agrostis infirma",22.2
"149",1,"Agrostis infirma",22.2
"150",1,"Agrostis infirma",22.2
"151",1,"Agrostis infirma",22.2
"152",1,"Agrostis infirma",22.2
"153",1,"Agrostis infirma",0
"154",1,"Agrostis infirma",19.5
"155",1,"Agrostis infirma",19.5
"156",1,"Agrostis infirma",123.2
"157",1,"Agrostis infirma",59.1
"158",1,"Agrostis infirma",59.1
"159",1,"Agrostis infirma",114.3
"160",1,"Agrostis infirma",114.3
"161",1,"Agrostis infirma",55.7
"162",1,"Agrostis infirma",55.7
"163",1,"Agrostis infirma",55.7
"164",1,"Agrostis infirma",55.7
"165",1,"Agrostis infirma",55.7
"166",1,"Agrostis infirma",55.7
"167",1,"Agrostis infirma",55.7
"168",1,"Agrostis infirma",55.7
"169",1,"Agrostis infirma",55.7
"170",1,"Agrostis infirma",64.5
"171",1,"Agrostis infirma",70.2
"172",1,"Agrostis infirma",84.2
"173",1,"Agrostis infirma",84.2
"174",1,"Agrostis infirma",84.2
"175",1,"Agrostis infirma",84.2
"176",1,"Agrostis infirma",119.5
"177",1,"Agrostis infirma",112.6
"178",1,"Agrostis infirma",112.6
"179",1,"Agrostis infirma",112.3
"180",1,"Agrostis infirma",112.3
"181",1,"Agrostis infirma",112.3
"182",1,"Agrostis infirma",112.3
"183",1,"Agrostis infirma",112.3
"184",1,"Agrostis infirma",112.3
"185",1,"Agrostis infirma",112.3
"186",1,"Agrostis infirma",112.3
"187",1,"Agrostis infirma",112.3
"188",1,"Agrostis infirma",105.1
"189",1,"Agrostis infirma",105.1
"190",1,"Agrostis infirma",105.1
"191",1,"Agrostis infirma",130.3
"192",1,"Agrostis infirma",130.3
"193",1,"Agrostis infirma",130.3
"194",1,"Agrostis infirma",129.3
"195",1,"Agrostis infirma",94.8
"196",1,"Agrostis infirma",93.1
"197",1,"Agrostis infirma",93.1
"198",1,"Agrostis infirma",93.1
"199",1,"Agrostis infirma",111.6
"200",1,"Agrostis infirma",81.5
"201",1,"Agrostis infirma",125.9
"202",1,"Agrostis infirma",165.4
"203",1,"Agrostis infirma",73.4
"204",1,"Agrostis infirma",73.4
"205",1,"Agrostis infirma",23.8
"206",1,"Agrostis infirma",11.7
"207",1,"Agrostis infirma",65.7
"208",1,"Agrostis infirma",65.7
"209",1,"Agrostis infirma",65.7
"210",1,"Agrostis infirma",65.7
"211",1,"Agrostis infirma",65.7
"212",1,"Agrostis infirma",65.7
"213",1,"Agrostis infirma",150.2
"214",1,"Agrostis infirma",42
"215",1,"Agrostis infirma",42
"216",1,"Agrostis infirma",42
"217",1,"Agrostis infirma",42
"218",1,"Agrostis infirma",222.8
"219",1,"Agrostis infirma",54.9
"220",1,"Agrostis infirma",73.7
"221",1,"Agrostis infirma",73.7
"222",1,"Agrostis infirma",73.9
"223",1,"Agrostis infirma",73.9
"224",1,"Agrostis infirma",73.9
"225",1,"Agrostis infirma",73.9
"226",1,"Agrostis infirma",93.2
"227",1,"Agrostis infirma",137
"228",1,"Agrostis infirma",93.2
"229",1,"Agrostis infirma",93.2
"230",1,"Agrostis infirma",114.2
"231",1,"Agrostis infirma",119.5
"232",1,"Agrostis infirma",145.2
"233",1,"Agrostis infirma",152.8
"234",1,"Agrostis infirma",152.8
"235",1,"Agrostis infirma",102.4
"236",1,"Agrostis infirma",25
"237",1,"Agrostis infirma",83.1
"238",1,"Agrostis infirma",83.1
"239",1,"Agrostis infirma",83.1
"240",1,"Agrostis infirma",35.9
"241",1,"Agrostis infirma",49.5
"242",1,"Agrostis infirma",49.5
"243",1,"Agrostis infirma",49.5
"244",1,"Agrostis infirma",96.4
"245",1,"Agrostis infirma",13.8
"246",1,"Agrostis infirma",13.8
"247",1,"Agrostis infirma",13.8
"248",1,"Agrostis infirma",13.8
"249",1,"Agrostis infirma",86.3
"250",1,"Agrostis infirma",61.8
"251",1,"Agrostis infirma",27.2
"252",1,"Agrostis infirma",21.4
"253",1,"Agrostis infirma",21.4
"254",1,"Agrostis infirma",37
"255",1,"Agrostis infirma",77.5
"256",1,"Agrostis infirma",47.2
"257",1,"Agrostis infirma",16.7
"258",1,"Agrostis infirma",85.9
"259",1,"Agrostis infirma",46.8
"260",1,"Agrostis infirma",46.8
"261",1,"Agrostis infirma",46.8
"262",1,"Agrostis infirma",46.8
"263",1,"Agrostis infirma",79.8
"264",1,"Agrostis infirma",26.6
"265",1,"Agrostis infirma",22.4
"266",1,"Agrostis infirma",22.4
"267",1,"Agrostis infirma",22.4
"268",1,"Agrostis infirma",37.3
"269",1,"Agrostis infirma",24
"270",1,"Agrostis infirma",24
"271",1,"Agrostis infirma",24
"272",1,"Agrostis infirma",24
"273",1,"Agrostis infirma",24
"274",1,"Agrostis infirma",24
"275",1,"Agrostis infirma",24
"276",1,"Agrostis infirma",85.5
"277",1,"Agrostis infirma",85.5
"278",1,"Agrostis infirma",73.9
"279",1,"Agrostis infirma",73.9
"280",1,"Agrostis infirma",81.4
"281",1,"Agrostis infirma",81.4
"282",1,"Agrostis infirma",174
"283",1,"Agrostis infirma",127.4
"284",1,"Agrostis infirma",127.4
"285",1,"Agrostis infirma",127.4
"286",1,"Agrostis infirma",107.7
"287",1,"Agrostis infirma",107.7
"288",1,"Agrostis infirma",196
"289",1,"Agrostis infirma",207.2
"290",1,"Agrostis infirma",207.2
"291",1,"Agrostis infirma",207.2
"292",1,"Agrostis infirma",209
"293",1,"Agrostis infirma",204.8
"294",1,"Agrostis infirma",182.2
"295",1,"Agrostis infirma",182.2
"296",1,"Agrostis infirma",182.2
"297",1,"Agrostis infirma",182.2
"298",1,"Agrostis infirma",182.2
"299",1,"Agrostis infirma",182.3
"300",1,"Agrostis infirma",180
"301",1,"Agrostis infirma",180
"302",1,"Agrostis infirma",180
"303",1,"Agrostis infirma",180
"304",1,"Agrostis infirma",182.3
"305",1,"Agrostis infirma",182.3
"306",1,"Agrostis infirma",182.3
"307",1,"Agrostis infirma",182.3
"308",1,"Agrostis infirma",182.3
"309",1,"Agrostis infirma",182.3
"310",1,"Agrostis infirma",180.8
"311",1,"Agrostis infirma",165.3
"312",1,"Agrostis infirma",165.3
"313",1,"Agrostis infirma",165.3
"314",1,"Agrostis infirma",165.3
"315",1,"Agrostis infirma",165.3
"316",1,"Agrostis infirma",165.3
"317",1,"Agrostis infirma",165.3
"318",1,"Agrostis infirma",165.3
"319",1,"Agrostis infirma",163.1
"320",1,"Agrostis infirma",161.1
"321",1,"Agrostis infirma",161.1
"322",1,"Agrostis infirma",161.1
"323",1,"Agrostis infirma",191.8
"324",1,"Agrostis infirma",29.9
"325",1,"Agrostis infirma",176.1
"326",1,"Agrostis infirma",176.1
"327",1,"Agrostis infirma",176.1
"328",1,"Agrostis infirma",176.1
"329",1,"Agrostis infirma",176.1
"330",1,"Agrostis infirma",176.1
"331",1,"Agrostis infirma",183.3
"332",1,"Agrostis infirma",183.3
"333",1,"Agrostis infirma",183.3
"334",1,"Agrostis infirma",183.3
"335",1,"Agrostis infirma",64.8
"336",1,"Agrostis infirma",64.8
"337",1,"Agrostis infirma",44.7
"338",1,"Agrostis infirma",43.6
"339",1,"Agrostis infirma",167.5
"340",1,"Agrostis infirma",46.9
"341",1,"Agrostis infirma",174.1
"342",1,"Agrostis infirma",46.6
"343",1,"Agrostis infirma",46.6
"344",1,"Agrostis infirma",33.5
"345",1,"Agrostis infirma",13
"346",1,"Agrostis infirma",33.1
"347",1,"Agrostis infirma",103.8
"348",1,"Agrostis infirma",159.1
"349",1,"Agrostis infirma",159.1
"350",1,"Agrostis infirma",134.9
"351",1,"Agrostis infirma",157.7
"352",1,"Agrostis infirma",152
"353",1,"Agrostis infirma",125.9
"354",1,"Agrostis infirma",125.9
"355",1,"Agrostis infirma",125.9
"356",1,"Agrostis infirma",125.9
"357",1,"Agrostis infirma",146.2
"358",1,"Agrostis infirma",150
"359",1,"Agrostis infirma",150
"360",1,"Agrostis infirma",144.1
"361",1,"Agrostis infirma",144.1
"362",1,"Agrostis infirma",144.5
"363",1,"Agrostis infirma",144.5
"364",1,"Agrostis infirma",144.5
"365",1,"Agrostis infirma",144.5
"366",1,"Agrostis infirma",25.3
"367",1,"Agrostis infirma",0
"368",1,"Agrostis infirma",0
"369",1,"Agrostis infirma",0
"370",1,"Agrostis infirma",0
"371",1,"Agrostis infirma",0
"372",1,"Agrostis infirma",0
"373",1,"Agrostis infirma",0
"374",1,"Agrostis infirma",0
"375",1,"Agrostis infirma",0.5
"376",1,"Agrostis infirma",0.5
"377",1,"Agrostis infirma",72.2
"378",1,"Agrostis infirma",2.6
"379",1,"Agrostis infirma",102.5
"380",1,"Agrostis infirma",102.2
"381",1,"Agrostis infirma",218.9
"382",2,"Amitostigma alpestre",41.8
"383",2,"Amitostigma alpestre",84
"384",2,"Amitostigma alpestre",50.3
"385",2,"Amitostigma alpestre",20.9
"386",2,"Amitostigma alpestre",26.2
"387",2,"Amitostigma alpestre",29.3
"388",2,"Amitostigma alpestre",36.5
"389",2,"Amitostigma alpestre",23.8
"390",2,"Amitostigma alpestre",23.8
"391",2,"Amitostigma alpestre",23.8
"392",2,"Amitostigma alpestre",23.8
"393",2,"Amitostigma alpestre",22.7
"394",2,"Amitostigma alpestre",27.4
"395",2,"Amitostigma alpestre",27.4
"396",2,"Amitostigma alpestre",27.4
"397",2,"Amitostigma alpestre",27.4
"398",2,"Amitostigma alpestre",27.4
"399",2,"Amitostigma alpestre",14.7
"400",2,"Amitostigma alpestre",14.7
"401",2,"Amitostigma alpestre",27.2
"402",2,"Amitostigma alpestre",21.4
"403",2,"Amitostigma alpestre",21.4
"404",2,"Amitostigma alpestre",23
"405",2,"Amitostigma alpestre",70.4
"406",2,"Amitostigma alpestre",49.9
"407",2,"Amitostigma alpestre",49.9
"408",2,"Amitostigma alpestre",49.9
"409",2,"Amitostigma alpestre",28.5
"410",2,"Amitostigma alpestre",28.5
"411",3,"Anaphalis morrisonicola",146.9
"412",3,"Anaphalis morrisonicola",146.9
"413",3,"Anaphalis morrisonicola",167.2
"414",3,"Anaphalis morrisonicola",186.9
"415",3,"Anaphalis morrisonicola",118.4
"416",3,"Anaphalis morrisonicola",127.1
"417",3,"Anaphalis morrisonicola",49.5
"418",3,"Anaphalis morrisonicola",109.6
"419",3,"Anaphalis morrisonicola",71.5
"420",3,"Anaphalis morrisonicola",71.5
"421",3,"Anaphalis morrisonicola",150.7
"422",3,"Anaphalis morrisonicola",150.7
"423",3,"Anaphalis morrisonicola",127.6
"424",3,"Anaphalis morrisonicola",98.2
"425",3,"Anaphalis morrisonicola",107.8
"426",3,"Anaphalis morrisonicola",110.8
"427",3,"Anaphalis morrisonicola",93.7
"428",3,"Anaphalis morrisonicola",116.2
"429",3,"Anaphalis morrisonicola",81.1
"430",3,"Anaphalis morrisonicola",81.1
"431",3,"Anaphalis morrisonicola",111.6
"432",3,"Anaphalis morrisonicola",111.6
"433",3,"Anaphalis morrisonicola",28
"434",3,"Anaphalis morrisonicola",28
"435",3,"Anaphalis morrisonicola",28
"436",3,"Anaphalis morrisonicola",27.7
"437",3,"Anaphalis morrisonicola",32.8
"438",3,"Anaphalis morrisonicola",68.2
"439",3,"Anaphalis morrisonicola",80.7
"440",3,"Anaphalis morrisonicola",47.2
"441",3,"Anaphalis morrisonicola",127.9
"442",3,"Anaphalis morrisonicola",127.9
"443",3,"Anaphalis morrisonicola",36
"444",3,"Anaphalis morrisonicola",36
"445",3,"Anaphalis morrisonicola",81.5
"446",3,"Anaphalis morrisonicola",73.4
"447",3,"Anaphalis morrisonicola",73.4
"448",3,"Anaphalis morrisonicola",47.4
"449",3,"Anaphalis morrisonicola",47.4
"450",3,"Anaphalis morrisonicola",22.1
"451",3,"Anaphalis morrisonicola",59.8
"452",3,"Anaphalis morrisonicola",23.8
"453",3,"Anaphalis morrisonicola",11.7
"454",3,"Anaphalis morrisonicola",11.7
"455",3,"Anaphalis morrisonicola",11.7
"456",3,"Anaphalis morrisonicola",11.7
"457",3,"Anaphalis morrisonicola",11.7
"458",3,"Anaphalis morrisonicola",26.6
"459",3,"Anaphalis morrisonicola",65.7
"460",3,"Anaphalis morrisonicola",23.8
"461",3,"Anaphalis morrisonicola",26.6
"462",3,"Anaphalis morrisonicola",59.8
"463",3,"Anaphalis morrisonicola",59.8
"464",3,"Anaphalis morrisonicola",59.8
"465",3,"Anaphalis morrisonicola",47.6
"466",3,"Anaphalis morrisonicola",47.6
"467",3,"Anaphalis morrisonicola",43.6
"468",3,"Anaphalis morrisonicola",47.6
"469",3,"Anaphalis morrisonicola",59.8
"470",3,"Anaphalis morrisonicola",57.5
"471",3,"Anaphalis morrisonicola",65.7
"472",3,"Anaphalis morrisonicola",55.7
"473",3,"Anaphalis morrisonicola",55.7
"474",3,"Anaphalis morrisonicola",55.7
"475",3,"Anaphalis morrisonicola",55.7
"476",3,"Anaphalis morrisonicola",44.1
"477",3,"Anaphalis morrisonicola",44.1
"478",3,"Anaphalis morrisonicola",23.8
"479",3,"Anaphalis morrisonicola",54.6
"480",3,"Anaphalis morrisonicola",52.7
"481",3,"Anaphalis morrisonicola",54.6
"482",3,"Anaphalis morrisonicola",52.7
"483",3,"Anaphalis morrisonicola",64.9
"484",3,"Anaphalis morrisonicola",64.9
"485",3,"Anaphalis morrisonicola",41.8
"486",3,"Anaphalis morrisonicola",52.7
"487",3,"Anaphalis morrisonicola",66.5
"488",3,"Anaphalis morrisonicola",66.5
"489",3,"Anaphalis morrisonicola",52.7
"490",3,"Anaphalis morrisonicola",54.6
"491",3,"Anaphalis morrisonicola",54.6
"492",3,"Anaphalis morrisonicola",52.7
"493",3,"Anaphalis morrisonicola",52.7
"494",3,"Anaphalis morrisonicola",52.7
"495",3,"Anaphalis morrisonicola",59.7
"496",3,"Anaphalis morrisonicola",59.7
"497",3,"Anaphalis morrisonicola",59.7
"498",3,"Anaphalis morrisonicola",59.7
"499",3,"Anaphalis morrisonicola",59.7
"500",3,"Anaphalis morrisonicola",79.9
"501",3,"Anaphalis morrisonicola",105.2
"502",3,"Anaphalis morrisonicola",60.8
"503",3,"Anaphalis morrisonicola",222.1
"504",3,"Anaphalis morrisonicola",66.9
"505",3,"Anaphalis morrisonicola",76
"506",3,"Anaphalis morrisonicola",73.7
"507",3,"Anaphalis morrisonicola",90.9
"508",3,"Anaphalis morrisonicola",91
"509",3,"Anaphalis morrisonicola",69
"510",3,"Anaphalis morrisonicola",73.9
"511",3,"Anaphalis morrisonicola",69.8
"512",3,"Anaphalis morrisonicola",93.5
"513",3,"Anaphalis morrisonicola",83
"514",3,"Anaphalis morrisonicola",93.2
"515",3,"Anaphalis morrisonicola",93.2
"516",3,"Anaphalis morrisonicola",93.2
"517",3,"Anaphalis morrisonicola",93.2
"518",3,"Anaphalis morrisonicola",93.2
"519",3,"Anaphalis morrisonicola",93.2
"520",3,"Anaphalis morrisonicola",93.2
"521",3,"Anaphalis morrisonicola",79.3
"522",3,"Anaphalis morrisonicola",79.3
"523",3,"Anaphalis morrisonicola",90
"524",3,"Anaphalis morrisonicola",90
"525",3,"Anaphalis morrisonicola",90
"526",3,"Anaphalis morrisonicola",90
"527",3,"Anaphalis morrisonicola",90
"528",3,"Anaphalis morrisonicola",90
"529",3,"Anaphalis morrisonicola",78.6
"530",3,"Anaphalis morrisonicola",80.7
"531",3,"Anaphalis morrisonicola",73.9
"532",3,"Anaphalis morrisonicola",73.9
"533",3,"Anaphalis morrisonicola",151.9
"534",3,"Anaphalis morrisonicola",70
"535",3,"Anaphalis morrisonicola",69.1
"536",3,"Anaphalis morrisonicola",69.1
"537",3,"Anaphalis morrisonicola",150.5
"538",3,"Anaphalis morrisonicola",56
"539",3,"Anaphalis morrisonicola",86.4
"540",3,"Anaphalis morrisonicola",49
"541",3,"Anaphalis morrisonicola",220.7
"542",3,"Anaphalis morrisonicola",218.3
"543",3,"Anaphalis morrisonicola",176.3
"544",3,"Anaphalis morrisonicola",59
"545",3,"Anaphalis morrisonicola",44
"546",3,"Anaphalis morrisonicola",109.6
"547",3,"Anaphalis morrisonicola",109.6
"548",3,"Anaphalis morrisonicola",109.6
"549",3,"Anaphalis morrisonicola",109.6
"550",3,"Anaphalis morrisonicola",109.6
"551",3,"Anaphalis morrisonicola",109.6
"552",3,"Anaphalis morrisonicola",109.6
"553",3,"Anaphalis morrisonicola",109.6
"554",3,"Anaphalis morrisonicola",105.3
"555",3,"Anaphalis morrisonicola",113.8
"556",3,"Anaphalis morrisonicola",43.7
"557",3,"Anaphalis morrisonicola",43.7
"558",3,"Anaphalis morrisonicola",43.7
"559",3,"Anaphalis morrisonicola",43.7
"560",3,"Anaphalis morrisonicola",43.7
"561",3,"Anaphalis morrisonicola",70.8
"562",3,"Anaphalis morrisonicola",70.8
"563",3,"Anaphalis morrisonicola",70.8
"564",3,"Anaphalis morrisonicola",70.8
"565",3,"Anaphalis morrisonicola",150.2
"566",3,"Anaphalis morrisonicola",150.2
"567",3,"Anaphalis morrisonicola",135.5
"568",3,"Anaphalis morrisonicola",60.9
"569",3,"Anaphalis morrisonicola",137.7
"570",3,"Anaphalis morrisonicola",121.5
"571",3,"Anaphalis morrisonicola",71.8
"572",3,"Anaphalis morrisonicola",75.2
"573",3,"Anaphalis morrisonicola",94.9
"574",3,"Anaphalis morrisonicola",102.4
"575",3,"Anaphalis morrisonicola",102.4
"576",3,"Anaphalis morrisonicola",102.4
"577",3,"Anaphalis morrisonicola",102.4
"578",3,"Anaphalis morrisonicola",102.4
"579",3,"Anaphalis morrisonicola",73.8
"580",3,"Anaphalis morrisonicola",73.8
"581",3,"Anaphalis morrisonicola",73.8
"582",3,"Anaphalis morrisonicola",73.8
"583",3,"Anaphalis morrisonicola",73.8
"584",3,"Anaphalis morrisonicola",88.6
"585",3,"Anaphalis morrisonicola",55
"586",3,"Anaphalis morrisonicola",70.7
"587",3,"Anaphalis morrisonicola",60.7
"588",3,"Anaphalis morrisonicola",33.6
"589",3,"Anaphalis morrisonicola",33.6
"590",3,"Anaphalis morrisonicola",33.6
"591",3,"Anaphalis morrisonicola",70.7
"592",3,"Anaphalis morrisonicola",44
"593",3,"Anaphalis morrisonicola",32.4
"594",3,"Anaphalis morrisonicola",83.5
"595",3,"Anaphalis morrisonicola",83.5
"596",3,"Anaphalis morrisonicola",59.2
"597",3,"Anaphalis morrisonicola",75.1
"598",3,"Anaphalis morrisonicola",46.6
"599",3,"Anaphalis morrisonicola",118.1
"600",3,"Anaphalis morrisonicola",35.1
"601",3,"Anaphalis morrisonicola",29.7
"602",3,"Anaphalis morrisonicola",29.7
"603",3,"Anaphalis morrisonicola",26.2
"604",3,"Anaphalis morrisonicola",26.2
"605",3,"Anaphalis morrisonicola",26.2
"606",3,"Anaphalis morrisonicola",43.3
"607",3,"Anaphalis morrisonicola",43.3
"608",3,"Anaphalis morrisonicola",43.3
"609",3,"Anaphalis morrisonicola",43.3
"610",3,"Anaphalis morrisonicola",25
"611",3,"Anaphalis morrisonicola",25
"612",3,"Anaphalis morrisonicola",25
"613",3,"Anaphalis morrisonicola",25
"614",3,"Anaphalis morrisonicola",25
"615",3,"Anaphalis morrisonicola",25
"616",3,"Anaphalis morrisonicola",25
"617",3,"Anaphalis morrisonicola",25
"618",3,"Anaphalis morrisonicola",25
"619",3,"Anaphalis morrisonicola",25
"620",3,"Anaphalis morrisonicola",25
"621",3,"Anaphalis morrisonicola",26.2
"622",3,"Anaphalis morrisonicola",29.3
"623",3,"Anaphalis morrisonicola",26.2
"624",3,"Anaphalis morrisonicola",32.4
"625",3,"Anaphalis morrisonicola",32.4
"626",3,"Anaphalis morrisonicola",28.6
"627",3,"Anaphalis morrisonicola",32.4
"628",3,"Anaphalis morrisonicola",32.4
"629",3,"Anaphalis morrisonicola",32.3
"630",3,"Anaphalis morrisonicola",83.1
"631",3,"Anaphalis morrisonicola",83.1
"632",3,"Anaphalis morrisonicola",35.9
"633",3,"Anaphalis morrisonicola",35.9
"634",3,"Anaphalis morrisonicola",35.9
"635",3,"Anaphalis morrisonicola",35.9
"636",3,"Anaphalis morrisonicola",35.9
"637",3,"Anaphalis morrisonicola",35.9
"638",3,"Anaphalis morrisonicola",35.9
"639",3,"Anaphalis morrisonicola",35.9
"640",3,"Anaphalis morrisonicola",35.9
"641",3,"Anaphalis morrisonicola",204.8
"642",3,"Anaphalis morrisonicola",35.9
"643",3,"Anaphalis morrisonicola",35.9
"644",3,"Anaphalis morrisonicola",155.2
"645",3,"Anaphalis morrisonicola",155.2
"646",3,"Anaphalis morrisonicola",30.9
"647",3,"Anaphalis morrisonicola",82.4
"648",3,"Anaphalis morrisonicola",30.9
"649",3,"Anaphalis morrisonicola",173.4
"650",3,"Anaphalis morrisonicola",30.9
"651",3,"Anaphalis morrisonicola",49.5
"652",3,"Anaphalis morrisonicola",49.5
"653",3,"Anaphalis morrisonicola",49.5
"654",3,"Anaphalis morrisonicola",49.5
"655",3,"Anaphalis morrisonicola",49.5
"656",3,"Anaphalis morrisonicola",154.3
"657",3,"Anaphalis morrisonicola",146.9
"658",3,"Anaphalis morrisonicola",154.3
"659",3,"Anaphalis morrisonicola",146.9
"660",3,"Anaphalis morrisonicola",146.9
"661",3,"Anaphalis morrisonicola",146.9
"662",3,"Anaphalis morrisonicola",146.9
"663",3,"Anaphalis morrisonicola",82.1
"664",3,"Anaphalis morrisonicola",49.5
"665",3,"Anaphalis morrisonicola",49.5
"666",3,"Anaphalis morrisonicola",23.6
"667",3,"Anaphalis morrisonicola",51.7
"668",3,"Anaphalis morrisonicola",33.1
"669",3,"Anaphalis morrisonicola",56.3
"670",3,"Anaphalis morrisonicola",110.3
"671",3,"Anaphalis morrisonicola",110.3
"672",3,"Anaphalis morrisonicola",60.3
"673",3,"Anaphalis morrisonicola",60.3
"674",3,"Anaphalis morrisonicola",112.4
"675",3,"Anaphalis morrisonicola",76.9
"676",3,"Anaphalis morrisonicola",78
"677",3,"Anaphalis morrisonicola",75.4
"678",3,"Anaphalis morrisonicola",78.2
"679",3,"Anaphalis morrisonicola",78.2
"680",3,"Anaphalis morrisonicola",78.2
"681",3,"Anaphalis morrisonicola",78.2
"682",3,"Anaphalis morrisonicola",75.4
"683",3,"Anaphalis morrisonicola",60.2
"684",3,"Anaphalis morrisonicola",115
