"","code","bio12_1","bio12_2","bio12_3","bio12_4","bio12_5"
"1",1,420,2583,3097,3500,6774
"2",2,2120,2533,2612,2716,3269
"3",3,1446,2373,2637,3239,4123
"4",4,53,307,666.5,1941.75,3431
"5",5,1858,2522,2612,2851,3629
"6",6,1618,2308,2528,2742,4010
"7",7,1663,2349,2550,3153.75,4072
"8",8,1663,2349,2578,2851,3542
"9",9,195,503,616,1044,4883
"10",10,1947,2484.5,2669,2862.25,3359
"11",11,193,649,2469,3165,6774
"12",12,334,834,1031,1369,3053
"13",13,1906,2349,2582,2829,5506
"14",14,1991,2339,2585,3034,3817
"15",15,285,1223,1547,1911,3389
"16",16,965,1519,2095,2675,4157
"17",17,2142,2598.5,2880.5,3318,3666
"18",18,2034,2411,2711,2851,3666
"19",19,229,475,749,2508,3411
"20",20,534,758,803,851,1968
"21",21,1609,2358,2525,2758.25,3637
"22",22,740,2183,2800,3039,3669
"23",23,262,1125,2483,2608,3542
"24",24,2168,2317,2483,2667,3034
"25",25,351,2317,2548,2713.5,3359
"26",26,318,763.75,946,1685.25,4053
"27",27,1907,2531,2742,2869,3658
"28",28,1964,2531,2690,3166,3666
"29",29,384,554,565,694.5,2274
"30",30,423,614.5,791,870.25,2586
"31",31,262,2349,2545.5,2846,3666
"32",32,1738,2425.5,2583,2748,3745
"33",33,1609,2483,2753,3325,4104
"34",34,2153,2450,2550,2666,2829
"35",35,292,2443,2570,2811,4059
"36",36,1506,2248,2566.5,2847,4061
"37",37,224,2608,2636,2742,3359
"38",38,2015,2531,2648,2851,3359
"39",39,1880,2516.5,2844,3453,4131
"40",40,2024,2609,2797,3239,3542
"41",41,389,726,948,2501,3588
"42",42,147,537,855,1610,5459
"43",43,1623,2411,2700.5,2851,3566
"44",44,338,652.5,869,1179.75,3706
"45",45,102,824,1049,1402,4123
"46",46,350,553,679,827.25,1794
"47",47,196,549,732.5,1017.5,3372
"48",48,338,566.75,664.5,787,3308
"49",49,1509,2520.5,2853.5,3338.75,4250
"50",50,1167,2278,2668,3324,3629
"51",51,435,1497,2065,2483,3523
"52",52,1609,2382.5,2609,2794,4072
"53",53,607,820,997,1615,4018
"54",54,1623,2349,2550,2811,3542
"55",55,2164,2308,2463,2829,3010
"56",56,1623,2308,2538,3289,4123
"57",57,1248,2308,2535,2928,3812
"58",58,1623,2382,2590,2732,4036
"59",59,684,2349,2586,2852.25,4123
"60",60,2091,2501,2637,2811,3359
"61",61,1979,2537.5,2742,2851,3359
"62",62,368,2592,3125,3155,3617
"63",63,786,1228.5,1604,2249,3542
"64",64,576,2345,2583,3049.5,4123
"65",65,1663,1663,2349,2617,3155
"66",66,1663,2528,2650,2811,3666
"67",67,373,771,1575.5,2537,3666
"68",68,528,1598,2544,3198,6774
"69",69,2086,2367,2622,2851,3359
"70",70,1171,2382,2550,2829,3542
"71",71,1890,2398,2580.5,3251.5,4025
"72",72,649,2456.5,2667,3201.5,4123
