"","decimalLongitude","decimalLatitude","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12"
"1",120.90722,23.68944,91,100,121,151,178,197,206,203,191,168,139,104
"2",120.80412,24.6213,147,152,177,215,247,273,288,285,270,240,207,166
"3",120.7704,23.66451,85,93,114,143,170,189,197,195,184,161,132,98
"4",121.36916,24.01805,93,100,122,152,181,204,214,210,196,170,141,106
